2022-05-17 23:05:564 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (b05b1e52bae17076839ceeb46ce5b2a2)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-17 23:05:893 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:528 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:453 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:220 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (85fea7914e1fc940e32013375f09e9b1)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 09:05:586 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 09:05:559 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 09:05:585 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (b23be6809ddcabf1b6ea079cb4411dde)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 09:05:753 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 09:05:229 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (93033b769e96823ea3d9485029748790)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 10:05:580 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 10:05:393 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (6f891bef2c071295c665e0efec36bf4e)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 10:05:918 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 10:05:143 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (3cb0fcb1bca6f6ea9485e9e23852a1f0)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 10:05:811 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 10:05:137 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (f3ec57276623ae98e66f61790f3fa5ad)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 10:05:180 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 10:05:921 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (2aac1209073408e4860b244f745f17c4)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 10:05:606 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 10:05:59 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (9dd66a2b8a6420251553e724e147c2be)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 10:05:618 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 10:05:937 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (b0e02edd592f55eed49ee5b9296b113a)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 10:05:631 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 10:05:342 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (41f96f09c6ed45a995f48bc2931d5659)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 10:05:905 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 10:05:938 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (c09de4cec98f85c9dc7377265af0c3d1)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 10:05:931 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 10:05:301 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (0cbe590d5041af21e37edb8402396ee3)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 10:05:691 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 10:05:64 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (545e744895b45f32704f31b878ec20ed)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 10:05:388 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 10:05:854 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (33ec21de07fada7a939d842f1911a048)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 10:05:968 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 10:05:88 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (f16e7390fb707448e42b6f963ba5db4d)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 10:05:730 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 10:05:787 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (dbbceb47b9ad535ad4da83bcd5cf5ae1)] -> xpath: //a[normalize-space()='Top-ranked Products']]
